Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
3.0,35.0,356.0,3564.0,Careers advisers and vocational guidance specialists
3.0,35.0,356.0,3565.0,Inspectors of standards and regulations
3.0,35.0,356.0,3567.0,Health and safety officers
4.0,,,,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS
4.0,41.0,,,ADMINISTRATIVE OCCUPATIONS
4.0,41.0,411.0,,Administrative Occupations: Government and Related Organisations
4.0,41.0,411.0,4112.0,National government administrative occupations
4.0,41.0,411.0,4113.0,Local government administrative occupations
4.0,41.0,411.0,4114.0,Officers of non-governmental organisations
4.0,41.0,412.0,,Administrative Occupations: Finance
4.0,41.0,412.0,4121.0,Credit controllers
4.0,41.0,412.0,4122.0,"Book-keepers, payroll managers and wages clerks"
4.0,41.0,412.0,4123.0,Bank and post office clerks
4.0,41.0,412.0,4124.0,Finance officers
4.0,41.0,412.0,4129.0,Financial administrative occupations n.e.c.
4.0,41.0,413.0,,Administrative Occupations: Records
4.0,41.0,413.0,4131.0,Records clerks and assistants
4.0,41.0,413.0,4132.0,Pensions and insurance clerks and assistants
4.0,41.0,413.0,4133.0,Stock control clerks and assistants
4.0,41.0,413.0,4134.0,Transport and distribution clerks and assistants
4.0,41.0,413.0,4135.0,Library clerks and assistants
4.0,41.0,413.0,4138.0,Human resources administrative occupations
4.0,41.0,415.0,,Other Administrative Occupations
4.0,41.0,415.0,4151.0,Sales administrators
4.0,41.0,415.0,4159.0,Other administrative occupations n.e.c.
4.0,41.0,416.0,,Administrative Occupations: Office Managers and Supervisors
4.0,41.0,416.0,4161.0,Office managers
4.0,41.0,416.0,4162.0,Office supervisors
4.0,42.0,416.0,,SECRETARIAL AND RELATED OCCUPATIONS
4.0,42.0,421.0,,Secretarial and Related Occupations
4.0,42.0,421.0,4211.0,Medical secretaries
4.0,42.0,421.0,4212.0,Legal secretaries
4.0,42.0,421.0,4213.0,School secretaries
4.0,42.0,421.0,4214.0,Company secretaries
4.0,42.0,421.0,4215.0,Personal assistants and other secretaries
4.0,42.0,421.0,4216.0,Receptionists
4.0,42.0,421.0,4217.0,Typists and related keyboard occupations
5.0,,,,SKILLED TRADES OCCUPATIONS
5.0,51.0,,,SKILLED AGRICULTURAL AND RELATED TRADES
5.0,51.0,511.0,,Agricultural and Related Trades
5.0,51.0,511.0,5111.0,Farmers
5.0,51.0,511.0,5112.0,Horticultural trades
5.0,51.0,511.0,5113.0,Gardeners and landscape gardeners
5.0,51.0,511.0,5114.0,Groundsmen and greenkeepers
5.0,51.0,511.0,5119.0,Agricultural and fishing trades n.e.c.
5.0,52.0,511.0,,"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES"
5.0,52.0,521.0,,"Metal Forming, Welding and Related Trades"
5.0,52.0,521.0,5211.0,Smiths and forge workers
5.0,52.0,521.0,5212.0,"Moulders, core makers and die casters"
5.0,52.0,521.0,5213.0,Sheet metal workers
5.0,52.0,521.0,5214.0,"Metal plate workers, and riveters"
5.0,52.0,521.0,5215.0,Welding trades
5.0,52.0,521.0,5216.0,Pipe fitters
5.0,52.0,522.0,,"Metal Machining, Fitting and Instrument Making Trades"
5.0,52.0,522.0,5221.0,Metal machining setters and setter-operators
5.0,52.0,522.0,5222.0,"Tool makers, tool fitters and markers-out"
5.0,52.0,522.0,5223.0,Metal working production and maintenance fitters
5.0,52.0,522.0,5224.0,Precision instrument makers and repairers
5.0,52.0,522.0,5225.0,Air-conditioning and refrigeration engineers
5.0,52.0,523.0,,Vehicle Trades
5.0,52.0,523.0,5231.0,"Vehicle technicians, mechanics and electricians"
5.0,52.0,523.0,5232.0,Vehicle body builders and repairers 
5.0,52.0,523.0,5234.0,Vehicle paint technicians
5.0,52.0,523.0,5235.0,Aircraft maintenance and related trades
5.0,52.0,523.0,5236.0,Boat and ship builders and repairers
5.0,52.0,523.0,5237.0,Rail and rolling stock builders and repairers
5.0,52.0,524.0,,Electrical and Electronic Trades
5.0,52.0,524.0,5241.0,Electricians and electrical fitters
5.0,52.0,524.0,5242.0,Telecommunications engineers
5.0,52.0,524.0,5244.0,"TV, video and audio engineers"
5.0,52.0,524.0,5245.0,IT engineers
5.0,52.0,524.0,5249.0,Electrical and electronic trades n.e.c.
5.0,52.0,525.0,,"Skilled Metal, Electrical and Electronic Trades Supervisors"
5.0,52.0,525.0,5250.0,"Skilled metal, electrical and electronic trades supervisors"
5.0,53.0,525.0,,SKILLED CONSTRUCTION AND BUILDING TRADES
5.0,53.0,531.0,,Construction and Building Trades
5.0,53.0,531.0,5311.0,Steel erectors
5.0,53.0,531.0,5312.0,Bricklayers and masons
5.0,53.0,531.0,5313.0,"Roofers, roof tilers and slaters"
5.0,53.0,531.0,5314.0,Plumbers and heating and ventilating engineers
5.0,53.0,531.0,5315.0,Carpenters and joiners
5.0,53.0,531.0,5316.0,"Glaziers, window fabricators and fitters"
5.0,53.0,531.0,5319.0,Construction and building trades n.e.c.
5.0,53.0,532.0,,Building Finishing Trades
5.0,53.0,532.0,5321.0,Plasterers
5.0,53.0,532.0,5322.0,Floorers and wall tilers
5.0,53.0,532.0,5323.0,Painters and decorators
5.0,53.0,533.0,,Construction and Building Trades Supervisors
5.0,53.0,533.0,5330.0,Construction and building trades supervisors
5.0,54.0,533.0,,"TEXTILES, PRINTING AND OTHER SKILLED TRADES"
5.0,54.0,541.0,,Textiles and Garments Trades
5.0,54.0,541.0,5411.0,Weavers and knitters
